paradigm,method,n_movies,alpha,mSIoU_mean,BndF1_mean,IoU_d_mean,IoU_nd_mean,R@1_mean,R@5_mean,R@10_mean,MedR_mean,mSIoU_std,BndF1_std,IoU_d_std,IoU_nd_std,R@1_std,R@5_std,R@10_std,MedR_std
Visual,S3D_w2v_vis_fuse,50,,0.32973726828347355,0.48972148429791185,0.4197946257729132,0.15621673920872226,0.3249186736003857,0.4351002584507792,0.49060661001955425,17.79,0.15612162889203146,0.16210478770069253,0.18097082830844638,0.10600665258243454,0.14219797733023423,0.1485039925186802,0.1453735183879596,19.88091798685363
Visual,S3D_w2v_full_fuse,50,,0.32741688780481476,0.49046928779204646,0.4180711291516387,0.14636541976782513,0.33730811080578155,0.44197820586490394,0.49557674956000786,17.28,0.1599637495259486,0.1725910500471956,0.18749010866687624,0.09575705401746733,0.14433442701623295,0.1474043345697815,0.1455685419993513,19.462569203473624
Dialogue,Cour2008_DTW,50,,0.32380430108000074,0.4800933371478444,0.4122292539916008,0.15601026140528892,0.4457965971712223,0.545383544615294,0.6132755359077491,6.1,0.1346335820141207,0.14325587988658905,0.15953496136386788,0.09444652724726488,0.14765722276182008,0.13979420399517417,0.13027438236737215,5.754997827975263
Visual,TAN_joint_vis_fuse,50,,0.32311146387785,0.47615925129683306,0.40577941051248567,0.15904262247699963,0.31423060791334023,0.42439206996474255,0.47559672006614256,20.67,0.16782293066885742,0.18340285905589127,0.1984146286409813,0.11108709292566277,0.13725596905240176,0.15018551033160762,0.14943298841330457,22.623131967081836
Visual,TAN_joint_full_fuse,50,,0.31446196089116357,0.46944722834300734,0.39542933949488634,0.15231788989154363,0.33081755987470174,0.4282347927317729,0.4784884219605802,20.07,0.18478987862171362,0.19723144542034018,0.22157060233971787,0.11785019207863953,0.14604996139500545,0.1532053777419309,0.15012719430035806,22.561917028479648
Visual,MATR_encoder_fuse_a0.5_vis,50,,0.29487240168937034,0.44514868392722823,0.36730702456031467,0.15792483490300285,0.3175858381183603,0.43396428008947935,0.4927148224556747,17.72,0.15992450396159122,0.17522288651747606,0.19282918731390317,0.10854235788002788,0.13937796129639415,0.14390255245304637,0.14381864421373425,19.285787513088493
Visual,MATR_encoder_fuse_a0.5_full,50,,0.2903417140393271,0.4516117134636317,0.36980284690244497,0.1386525544730733,0.3227800889244184,0.4377110724295871,0.49630438167371643,17.52,0.15386274636858607,0.1772336457180584,0.18570443067668885,0.1028163612093319,0.14245109697078534,0.14768526850298708,0.14405100948036928,19.707095168999412
Visual,clip_full_sent,50,,0.25179848742973077,0.43426766300035596,0.25295344287410104,0.25151129186746807,0.14351191908551253,0.3747034505230791,0.5155647097625793,11.88,0.1597650151456031,0.1707901084792195,0.16168021165655366,0.1689553758296451,0.05079931622581711,0.10964279650543918,0.13083272227418927,8.753604971667388
Fusion,clip_vis_only,50,1.0,0.25179848742973077,0.43426766300035596,0.25295344287410104,0.25151129186746807,0.14351191908551253,0.3747034505230791,0.5155647097625793,11.88,0.1597650151456031,0.1707901084792195,0.16168021165655366,0.1689553758296451,0.05079931622581711,0.10964279650543918,0.13083272227418927,8.753604971667388
Visual,clip_visual_sent,50,,0.2423990092059025,0.42353712291793877,0.24898639529828193,0.23085938659245842,0.14174904913901143,0.3728734420064228,0.5175801409502179,12.12,0.16249313873702403,0.17731734921679856,0.16750563708632243,0.16488836872082552,0.05431408183771156,0.11109607243420533,0.13073163990666414,9.889165788882297
Visual,internvideo2_full_concat,50,,0.22173117474914691,0.42929383455252185,0.22710485517267018,0.20464778863404415,0.12848571565754185,0.30613404555720475,0.4131955412744082,19.52,0.1432024565127509,0.15481994292060647,0.14843534538316402,0.1452457051913753,0.060096918645446265,0.10403635775344378,0.11476272042732254,13.42905804589436
Visual,internvideo2_visual_concat,50,,0.21857824861156028,0.4199502368295242,0.2267119783278279,0.1981952400460586,0.131163253072865,0.3114683946967073,0.4203993351226999,18.99,0.13861576177559984,0.15311042008025932,0.14735066770341923,0.13683959106749405,0.061996575732023385,0.10630836425988424,0.11815438040931897,13.278738644916544
Visual,TMASS_pool_vis,50,,0.14068082286427644,0.3173311175646563,0.13536226287379197,0.1481713329155049,0.08663137626542415,0.25800754681120813,0.3819825305522195,21.27,0.12857813470728227,0.172276722089144,0.12930578567737627,0.14248642371680778,0.03909815166786945,0.09170592012065404,0.11686902768613058,13.280515803235957
Visual,TMASS_stoch_vis,50,,0.13922812472528898,0.31610585910159505,0.13388919731882487,0.14688732230756396,0.08685747255416575,0.25763899157499426,0.38088216914118805,21.42,0.12791490188346816,0.17249777924383208,0.12817425913259806,0.14239183878728892,0.038773865666857484,0.09245194498551852,0.11651234850884878,13.343297943162327
Visual,MATR_encoder_fuse_a0.7_full,50,,0.13804467709186397,0.31832750685052486,0.17252733874868462,0.07669044603284632,0.22383178609492205,0.3544157199095554,0.4255832276603276,25.51,0.11238956182839574,0.1664718077601578,0.13900774323267592,0.08911712877038243,0.10746542945674128,0.12808683243402819,0.13675559170263724,22.546948795790527
Visual,MATR_encoder_fuse_a0.7_vis,50,,0.13185817598782296,0.30020195206969863,0.16340596945250535,0.07404669250076915,0.213529554566503,0.3443258523477042,0.41761813697992956,26.19,0.10862422489052197,0.15639425610886398,0.13173524370739984,0.08799043467013777,0.10583067085213924,0.12582762587548474,0.13521581256997794,22.40332341417228
