method,n_movies,alpha,mSIoU_mean,mSIoU_std,BndF1_mean,BndF1_std,IoU_d_mean,IoU_d_std,IoU_nd_mean,IoU_nd_std,R@1_mean,R@1_std,R@5_mean,R@5_std,R@10_mean,R@10_std,MedR_mean,MedR_std
E5_visual_inst_a0.3,50,0.3,0.5662545513791024,0.14741485658062034,0.6751897730332904,0.12675902847113835,0.635214636940137,0.15401379623750336,0.436615421808855,0.15879048913452318,0.43382579664093174,0.14547562142180695,0.6275584287761022,0.13369774121540137,0.7179580442409571,0.1203214032506602,3.68,4.1698441217868085
E5_visual_inst_a0.5,50,0.5,0.5880217568548121,0.13709573425284305,0.68774900934083,0.12617146268979015,0.650097013334298,0.144232967142483,0.47471059506581115,0.15711429362959514,0.4546364260441137,0.1422015496102241,0.6576542774427252,0.12885777298797893,0.751250404565084,0.1142977996830493,3.1,3.371943060017473
E5_visual_inst_a0.7,50,0.7,0.5855372567295007,0.1360176963701664,0.6896168073652202,0.12317397075845837,0.6387965263415204,0.14212537619297871,0.4882454035302644,0.1611137846257796,0.4245965496852417,0.1292361614296533,0.6685499121491731,0.13080219959443498,0.7651293440910908,0.11882048557443435,3.11,3.4224114305559463
E5_visual_inst_a0.9,50,0.9,0.5219954226631467,0.14690989608295696,0.644581258190328,0.13767149362272407,0.5561853421559402,0.15678808626400273,0.4613394412277362,0.1780717847605627,0.2800190786918616,0.09678796928630468,0.5650896644221138,0.13410497395130438,0.6957159641426992,0.1363704756661836,5.47,5.398527577034316
E6_sent_inst_vis,50,1.0,0.443445862261827,0.14857838542728272,0.5856030730157579,0.14094247928248235,0.4591300592782389,0.1554104494557574,0.4053791351804935,0.16029184801553742,0.21492220176977223,0.07933653801645428,0.4936256191693198,0.12290666683923132,0.6329144780326467,0.12984457051053663,7.38,7.386176277344049
E6_sent_inst_a0.1,50,0.1,0.5259065444829366,0.1489990423223985,0.6397518202514617,0.13434163514291275,0.6008896382279699,0.15545374164834438,0.3820826622233563,0.1564379677784638,0.4134064572258049,0.14597781667364657,0.6020689957105781,0.14012634039671315,0.6868781256847508,0.12782494594210156,4.62,6.118463859499376
E6_sent_inst_a0.3,50,0.3,0.5486633125477357,0.14675298459815683,0.654249000727812,0.13234522724285658,0.6187606703866226,0.15418112961159752,0.4097897467145683,0.16513626229606668,0.4328108169533536,0.14773685257936775,0.6239923570115304,0.13555734277985731,0.7075515991919086,0.1209729046473746,3.91,5.139737347374864
E6_sent_inst_a0.5,50,0.5,0.5675341503258566,0.14429682752665493,0.6640132320841079,0.13123171933766475,0.6309048561116962,0.153029557046829,0.4385558076199426,0.14196648242693388,0.4523269477962708,0.14582841467889096,0.6483650348610354,0.13046026829278387,0.7342135023646403,0.11621907132910625,3.25,4.094203219186854
E6_sent_inst_a0.7,50,0.7,0.5719451081070585,0.14705854917343705,0.669014345620673,0.13470206157868958,0.6246055431007118,0.156975791419214,0.46256498224533904,0.14677739580414575,0.4278839877847905,0.13290030507994013,0.6648232699103059,0.12729509760493993,0.7563659805795274,0.11427250663076761,3.13,3.4681551291717043
E6_sent_inst_a0.9,50,0.9,0.5099104930044756,0.1509806434914385,0.6333127718077521,0.14355580637632745,0.5399020416133792,0.15763354370301838,0.447922648999779,0.15659094318553496,0.2802540483150631,0.09816566018940995,0.5723861141271016,0.12772907440470652,0.7015507491151151,0.12500932705781456,5.21,5.641001684098313
